susp_score,current_label,corrected_label,text,app,language
2,positive,positive,"sebelum dh daftar. tp hp rosak. so , nak download di handphone baru , tak dapat pula. Tapi berjaya je daftar.",MySejahtera,en
2,positive,positive,knp ACC lama saya tak blh nk buka sy tukar fon. fon lama hilang katalaluan sy dh masuk kan yg btl2 saya je tak blh nk masuk jgk knp ye,Touch n Go eWallet,ms
2,neutral,neutral,since last two so difficult to use TnG. The system is to slow when try to do a payment. Sometimes can't enter at all!!!!!,Touch n Go eWallet,en
2,neutral,neutral,"Cant refresh my profile, the date remain in 2022...pla fix the bug thks",MySejahtera,en
2,neutral,neutral,kenapa sistem madani sekarang menyusahkan rakyat? mysejahtera tak boleh nak update number baru ? buat banyak kali pun macam tu juga apa2 appointment mesti nak kena guna mysejahtera bad service maaf cakap ye 👎🏻👎🏻👎🏻,MySejahtera,ms
2,neutral,neutral,Kalau no fon yg dftar da tak aktif nak buat mcm mn?susah sangat nk check up di klinik kesihatan sbb tak boleh nk log in.,MySejahtera,ms
2,neutral,neutral,"Totally cannot use the function inside app. First, the profile is keep loading n loading, no interface appear,. Terrible.",MySejahtera,en
2,positive,positive,tng tusah betul nak pindah kan dari hp lma ke hp bru...kalau bolh jangn lh guna nbe pin log in..scam muka dan ic pun dah cukup untuk bukti yg kita ni bukan orng lain nak log in..,Touch n Go eWallet,ms
2,neutral,neutral,"email tak boleh ubah kenapa ya,, bila nk verify, email lama lupa password,,, bila nak masuk email baru tiada pilihan lain untuk submit email baru, so appointment xboleh buat selagi email x verify",MySejahtera,en
2,neutral,neutral,saya nak tukar no fon baru ..tapi sulit nak buat..boleh bagi tahu saya macam mana nak buat..fon lama saya hilang kena curi,MySejahtera,ms
2,positive,positive,"Terok gila tak boleh buat tempahan janji temu, aku dah sahkan acc tuu bnyak kali...😌",MySejahtera,ms
1,positive,positive,"lepas update version baru, apps tak boleh buka.. blank.",MySejahtera,en
1,positive,positive,less 1 star because grabmap error,Grab,en
1,positive,positive,"Can't see TNG APP,",Touch n Go eWallet,ms
1,positive,positive,not straight forward enough,Touch n Go eWallet,en
1,positive,positive,"dah makin laju dh, dulu asyik lag jer... kalau boleh buat la redeem coin tu setiap hari tknak voucher, better coin boleh kumpul 😁",Touch n Go eWallet,en
1,negative,negative,After I got the app back I don't know where to upload and update my covid test..... Someone please help me n show me thanks,MySejahtera,en
1,negative,negative,X bagus 😓,MySejahtera,ms
1,negative,negative,after update reload take so many time. before this instant reload easy,Touch n Go eWallet,en
1,neutral,neutral,okay tak ada masalah.,Grab,ms
1,negative,negative,suka mkn duit orng bile main game die ape bnde ni,Touch n Go eWallet,en
1,positive,positive,Boleh tak tambahkan maklumat suntikan typhoid dlm nie...susah la klo kena bwk kad jewrr...klo ade dlm mysejahtera lgy senang...,MySejahtera,ms
1,neutral,neutral,sangat kecewa susah dapat driver d jam-jam tertentu,Grab,en
1,neutral,neutral,why quick payment and auto reload is unavailable?? when fix that problem?,Touch n Go eWallet,en
1,negative,negative,Cuba dulu kalau Bagus baru bagi 5 star,Grab,ms
1,neutral,neutral,susah gila nk dpt driver dhla student nk kena gi kelas awal,Grab,ms
1,neutral,neutral,very slow login and need to wait more time to scan the QR,Touch n Go eWallet,en
1,neutral,neutral,over all the service was fine until it came into a refund issue it has been one weeks almost two weeks and still amount money inside my account still remain the same,Touch n Go eWallet,en
1,neutral,neutral,"acc sy tak boleh log in kenape yer, sy terlupe no pin & password tapi dah ikot arahan diberi tapi still tak boleh, dia kata ""ada yg tak kena"" ape perlu sy buat untuk dapatkan semula acc sy",Touch n Go eWallet,ms
1,neutral,neutral,terbaik senang bayaran bil elektrik,Touch n Go eWallet,ms
1,neutral,neutral,"Good customer service from the company, but my main issue is the unprofessional drivers. Ordered some food at midnight, paid by cash, and somehow the driver asked me where's the tips. I thought tips aren't mandatory, and only if customer wants to give tips. It's not something that the driver demands from the customer as if the customers owe them money. It happened twice. Also how some drivers would just cancel my order halfway through without any confirmation, making me have to wait even more.",Grab,en
1,neutral,neutral,"makin update new version makin teruk, especially need to click on the ""Reward"" , forever load non stop even using WiFi. 😓😓 pls improve the web bandwidth",Touch n Go eWallet,en
1,neutral,neutral,"Mohon bantuan, kenapa saya suruh hantar (forget password) untuk (code) saya dah hantar e-mail saya tapi tak masuk pun dalam e-mail saya , menyusahkan betul lah",MySejahtera,ms
1,neutral,neutral,kenapa tng jdi lmbt slow msuk adoi susah nk transfer tollng la baiki,Touch n Go eWallet,ms
1,positive,positive,The aba payment thing sucks.,Grab,en
1,positive,positive,"After my last complain about there is no available slot for dental check up for almost every month , the new update finally improve the app a little. However, when I try booking for appointment in the next 6 month - let's say for February 2026, there is no available slot even after I check for every date in February and even March. Hopefully this can be fixed too 😭",MySejahtera,en
1,positive,positive,pin lokasi tidak tepat Jln Dtk Ajibah Abol,Grab,ms
1,positive,positive,Tarikh untuk temujanji tidak dapat diplilih. Hanya tarikh semasa sahaja yang dipaparkan.,MySejahtera,en
1,neutral,neutral,"Idk if its just me but the latest update is kinda buggy. Like, i cant view my profile and when i tried to update my info, i couldnt get pass the passport part which it said mandatory but i dont have any passport :( and as for the other page like MyMinda, when i clicked on it, its just blank. Maybe need to fix some of these bugs",MySejahtera,en
1,negative,negative,was good. now it doesn't give coupons and slowly tries to up charge me.,Grab,en
1,negative,negative,"Grab memang senang dapat bila kita booking tetapi,tiada mata ganjaran atau poin kita dapat,tak best dah,harap perbaiki supaya harga berpatutan lah utk pengguna grab",Grab,ms
1,positive,positive,"After the previous update, the app took forever to load",Touch n Go eWallet,en
1,negative,negative,My Grab for the airport was good on the streets one charged me 100 for a 33 priced ride and when I was coming home the grab driver tried to charge me 150.00 for the same 33.00 ride 👎🏾,Grab,en
1,neutral,neutral,Susah sangat nk tgk rekod kesihatan...dah kemaskini pun tetap xboleh tengok,MySejahtera,ms
1,positive,positive,"kejap bole bukak pastu tetiba je apk xleh buka sebab ubahsuai, apa yg ubahsuainya",Touch n Go eWallet,ms
1,neutral,neutral,Sangat bagus dan membantu .✍️,MySejahtera,ms
1,neutral,neutral,"Janan susahkan guna biometric atau passcode. mysejahtera untuk kesihatan, pakcik makcik terpaksa buat passcode untuk mysejahtera, makin menyusahkan mereka bila guna telefon",MySejahtera,en
1,neutral,neutral,"i up 2 star because annoying promotion notification is not there anymore, thanks TnGo developer. It remains 3 star because new interface not really user friendly and loading favorite=>more took ages to load 😅...",Touch n Go eWallet,en
1,neutral,neutral,"ok mudah untuk membayar, duit pun cepat jer habis,",Touch n Go eWallet,ms
1,neutral,neutral,Dah tekan lupa kata laluan . Tapi sampai sekarang dari bulan 8 masih tak terima emel/ sms link untuk saya tukar password baru . Apakah jalan penyelesaian anda ?,MySejahtera,ms
1,positive,positive,tolong di review lagi app nya. makin ke sini makin kurang oke. dapat driver lokasi jauh banget dari titik penjemputan jadi tunggu lama dan kasian drivernya juga ongkos bensin buat narik makin banyak.,Grab,en
1,neutral,neutral,i hate this because i wait so long to wait the driver accept my booking!!!!,Grab,ms
1,positive,positive,"Look, can you not make a nearest drop point for pickup? I've been using it for like a long time, and pickup places like 10 -15 minutes walk just for me to call for a Grab driver. Don't make it the nearest point for pickup, just point where I am.",Grab,en
1,negative,negative,senang membuat pembayaran,Touch n Go eWallet,ms
1,positive,positive,unable to update latest apps version for model samsung z fold5,MySejahtera,en
1,positive,positive,hrini saya ada appoiment dkt KK & my apps x blh guna sbb maintenance. haih can you fix this?,MySejahtera,en
1,positive,positive,tak boleh nak book appointment. tak keluar pun nearest klinik yg available .keluar yg kat KL punya. kita duduk pahang,MySejahtera,en
1,positive,positive,"5 years after MCO,pandemic COVID-19..now I see a new in terms of their UI & UX.. really gives material feels design and it makes this app more refreshing to see compared to old UI. Even though, stability and performance play a crucial roles in development application. Lastly but not least, always keeping our data at high grade security,not weakest ones that hackers,scammers can access our data. That's all for now I would want say.",MySejahtera,en
1,positive,positive,"baru update apps ni, tpi makin pening, skrg mmg dh x boleh top up card tngo guna nfc ke mcm mne, sbb dh xde button utk card tngo tu",Touch n Go eWallet,en
1,negative,negative,It's great for booking an appointment but the QR code scanner from the apps doesn't work well on my phone so I have to manually scan the QR outside the app 🫩,MySejahtera,en
1,positive,positive,"With this new updated app, I can't find my covid 19 vaccination record. Is it available in this updated apps.",MySejahtera,en
1,positive,positive,"after so long not open this app since pkp (covid) , now I open it 😁😄",MySejahtera,en
1,positive,positive,kenapa makin lama makin slow server dia,Touch n Go eWallet,en
1,negative,negative,Awful. Next available slots for outpatient treatment is 1 month away. Good luck if you are sick or in pain. Brainless system. For whom is this system created for anyway? Fortune tellers who are able to predict their illness one month in advance?!,MySejahtera,en
1,positive,positive,tak boleh nk book oppiment,MySejahtera,ms
1,positive,positive,"i hope they would add a feature to cancel your order, when the order is not yet accepted by the driver. coz that would be more effective for customers, to cancel their orders instead of messaging the drivers themselves and 😐",Grab,en
0,positive,positive,sangat baguss ini,Touch n Go eWallet,ms
0,negative,negative,Napa mysejater skrg xfuntion buka keluar putih je ingtkn sbb fon wat dkt fon lain pn sma... Org lain nk daftar letak keputusan swep test pn sma kluar putih,MySejahtera,ms
0,negative,negative,X active skian lama,Touch n Go eWallet,en
0,positive,positive,i hope my past vaccine cert will appear in new my sejahtera.,MySejahtera,en
0,positive,positive,Selamat berinstall kembali semua,MySejahtera,en
0,negative,negative,clustered & many pop-ups. the pop-up ads before i make payment is infuriating. im seriously considering other options,Touch n Go eWallet,en
0,negative,negative,vaksin sy sini keluar satu ja,MySejahtera,ms
0,negative,negative,saya nak buat temujanji pergigian. hari tu boleh je. sekarang semua penuh sampai 2029 pula tu pun penuh. betul atau x ne. adoii biar betul,MySejahtera,ms
0,positive,positive,"Terima kasih mudahkan urusan, bagi kami penduduk kampung",Touch n Go eWallet,en
0,positive,positive,hopefully the scanning page load faster ok. now resolved,Touch n Go eWallet,en
0,negative,negative,"Please make an option to put the ""Favorites"" tab front and center when opening the app :(",Grab,en
0,positive,positive,i have been using more touchngo since last year and it have been really convenience using it. it merge many service on one app,Touch n Go eWallet,en
0,negative,negative,Aq vaksin dio tulis x vaksin lagi,MySejahtera,ms
0,negative,negative,i have sign in but when I open the app everything is white nothing on the display,MySejahtera,en
0,negative,negative,Frequent updates that do nothing to add to the user experience.,MySejahtera,en
0,negative,negative,Appointment option x function. loading all the time,MySejahtera,en
0,neutral,neutral,This app helping not much,Grab,en
0,neutral,neutral,"it is not even raining and yet, Grab says it is and charges me more than double.",Grab,en
0,negative,negative,haku bagi 1 bintang je lepas dia upgrade tng yg baru buln 5 2026 ni..nmpk mysahkn plak..button topup tol yg dulu ok je di homescreen..lps upgrde ntah mana2 dia letak laaa,Touch n Go eWallet,en
0,neutral,neutral,Aku bagi tiga jeer sebab tak boleh top up Digi,Grab,ms
0,negative,negative,"Apps buffering took a shorter time before BUDI95, please look into this as it really affects payment speed.",Touch n Go eWallet,en
0,positive,positive,MURUGAMAH A/P MUNIANDY,MySejahtera,ms
0,negative,negative,kenapa buat pindahan duit ke bank 10 ringgit dipotong. pindah 30 masuk bank 20 jerr,Touch n Go eWallet,ms
0,negative,negative,"kurang puaskan, sebab akaun baru sudah buat, tapi dia pusingkan akaun yang lama, dah sampai sini jelah saya guna TNG ini😠😠😠",Touch n Go eWallet,ms
0,positive,positive,"Recently after updated, the fixed notification for MySJ Trace always appeared even though I don't turn it on. Please fix this.. Thanks",MySejahtera,en
0,positive,positive,ikut peraturan jln raya dgn betul dan grab bawa hati2 semasa memandu dan bersopan santun bila bercakap,Grab,ms
0,positive,positive,Mallory awards 10 contributions.,MySejahtera,en
0,negative,negative,Akaun tng saya kene rm5k abis ilang,Touch n Go eWallet,ms
0,positive,positive,sangat berpuashati dgn app ini,Grab,ms
0,negative,negative,always lock me out whenever i receive funds from top up n transfer .. inconcenient .. embarrasing as well especially while making payment,Touch n Go eWallet,en
0,positive,positive,please bring back the option to pay and split evenly,Grab,en
0,positive,positive,I think the app is great overall but there could be some issues at certain times where the tracker can be inconsistent and buggy. I am not sure if this is only personal experience but hopefully others might encounter the same problems as well and point it out,Grab,en
0,positive,positive,information and investment...,MySejahtera,ms
0,positive,positive,Aplikasi ini sangat berguna untuk membuat temu janji di hospital yang berdekatan.,MySejahtera,en
0,positive,positive,Saya amat meyukainya,MySejahtera,ms
0,positive,positive,cara membuat tempahan awal??,MySejahtera,ms
0,negative,negative,sy dh daftar lepas tu bila nk buka x boleh,Touch n Go eWallet,ms
0,negative,negative,yung sapatos po naiwan,Grab,en
0,negative,negative,x boleh buke app,Touch n Go eWallet,en
0,positive,positive,saya penah guna ewallet tapi dah lama x buka bila nak buka balik nombor telifon dah bertukar jadi x lepas buat macam mana buat ya,Touch n Go eWallet,ms
0,negative,negative,data rakyat dijual LOL,MySejahtera,ms
0,negative,negative,mysejahtera doesn't work on my samsung s24 ultra at all! Tried uninstall and reinstall few times also same,MySejahtera,en
0,negative,negative,it x log in or work efficiently.,Touch n Go eWallet,en
0,positive,positive,Kenapa Selepas kemas kini sijil jadi hitam putih pula,MySejahtera,ms
0,positive,positive,"Salam, harap boleh tmbah fungsi rekod derma darah. T.kasih",MySejahtera,en
0,positive,positive,Gets a new apps. ..,MySejahtera,en
0,positive,positive,"MySejahtera pernah jadi aplikasi penting semasa pandemik, namun kini semakin kurang relevan. Saya cadangkan agar ia dipertingkat dengan fungsi yang lebih dekat dengan pengguna, seperti e-wallet kesihatan, pembayaran klinik, rekod vaksin automatik atau insentif gaya hidup sihat. Transformasi ini boleh menjadikan MySejahtera platform digital kerajaan yang moden,berguna dan kekal relevan untk rakyat.. PADU DAK KOMEN ABG😂",MySejahtera,ms
0,positive,positive,Zujinduhu a/l Merapu,MySejahtera,ms
0,positive,positive,nipah virus coming.gotta download this app to prevent nipah virus,MySejahtera,en
0,positive,positive,x boleh bayar bil elektrik dan banyak pulak iklan,Touch n Go eWallet,ms
0,positive,positive,"Kenapa setiap kali saya nak login semula , mesti invalid user id or password.. sedangkan password saya betul",MySejahtera,en
0,positive,positive,gelap tak keluar apa2.....x blh guna dah... setelah seminggu lebih baru blh guna. install uninstall byk kali.tq helpdesk mysejahtera yg membantu,MySejahtera,en
0,positive,positive,latest version tiada detail di blood donor card. previous version ada detail benefit yg dapat. cth: free outpatient treatment etc,MySejahtera,en
0,positive,positive,"Very user friendly. It helps me quickly check my future appointments. I can also self check in at home then just arrive at the clinic half an hour before the appointment time. Excellent! However, the notification and history are not updated in time.",MySejahtera,en
0,positive,positive,tutup app MySejahtera,MySejahtera,ms
0,positive,positive,saya terlupa katalaluan nya macam mana ya?,MySejahtera,ms
0,positive,positive,my sejahtera saya bhgian profil xdpt buka cma kosong je mcm mna?,MySejahtera,en
0,positive,positive,"I love the new look, but only downside im no longer able to print 3 vaccine cert on same page like before.. I'm looking forward to bringing that back.. please be able to verify the dependent because several son take care of their parents",MySejahtera,en
0,positive,positive,The app was improved by a long mile since it was first introduced. the thing lacking was the security similar to banking sector level of security.,Touch n Go eWallet,en
0,positive,positive,ok ok ok rm50. (rm49.50!),Touch n Go eWallet,en
0,positive,positive,"Very Useful for delivery of food. Very affordable. Can you please, put how many kilometers from the place where we will order to our place next time? Cause it's hard to determine where the nearest to our place.",Grab,en
0,positive,positive,sangat tepati masa,Grab,ms
0,neutral,neutral,it's good and all but one thing I don't like in this app is the unjustifiable price of their delivery fee where some of the foods costs less than the delivery fee. it pisses me off sometimes.,Grab,en
0,neutral,neutral,kenapa saya tak boleh deta grab,Grab,ms
0,neutral,neutral,"my account SUSPENDED , cannot open . my balance got in there",Touch n Go eWallet,en
0,neutral,neutral,always crash on my device poco c65... happened for a few days already... before this just normal,Touch n Go eWallet,en
0,neutral,neutral,pay through online not activated because use grab pay ewallet,Grab,en
0,neutral,neutral,grab ni sangat berguna tetapi saya rasa sedikit terasa sedih la juga sebab separuh driver minta duit lebih time saya mau kosong tu lah diorang minta tambah 😔,Grab,ms
0,neutral,neutral,"Terrible system; can't even cancel an order that just got ordered literally seconds ago; because the system decided to order it without going through 2 phases (jumped directly to the second phase - ""check order"" phase was skipped), without letting me check my orders! And the price was twice the previous time I bought at the same store for the same items! Good thing the driver understood my request and cancelled my order, otherwise I had to pay twice the amount for the same stuffs!",Grab,en
0,positive,positive,Insya'Allah... Mempermudahkan pengguna.. Semoga terus sentiasa dalam menaiktaraf.. Tqvm..,Grab,ms
0,neutral,neutral,why I can't update the emergency contact portion here?,Grab,en
0,neutral,neutral,good drive safe,Grab,en
0,neutral,neutral,"I don’t know what to say… I ordered a Grab from my location, but the driver went to another location. When he called, he told me that I booked the wrong location, but the app clearly showed the correct location that I selected. Now I want to cancel the ride, and they’re charging me RM3 even though it’s not my fault. What the hell? Now I have to pay even though I did nothing wrong.🤷",Grab,en
0,neutral,neutral,darkmode on chat still not fixed yet,Grab,en
0,neutral,neutral,Screenshoot picture dan pindah ke duitnown juga tidak pernah digunakan ja lagi.,Grab,ms
0,positive,positive,정확한 지도표시가 잘안되어 안타깝습니다,Grab,en
0,neutral,neutral,"Grab sekarang banyak mahallllllll gile,,dia masih jauh pun dia ambik,,nnti kalau dah tak ada penumpang cam texi baru tau",Grab,ms
0,positive,positive,drive tak cerewet bagus orangnya,Grab,ms
0,positive,positive,"would give 5 stars if you can implement the same feature as foodpanda. after choosing Ur food, there's a feature to input ur special instructions. It was upsetting when i first used grab after foodpanda.",Grab,en
0,positive,positive,यहां अप डिलीवरी के लिए बहुत बढ़िया ऐप है मैंने इसे उसे किया और मुझे बहुत अच्छालगा 😇*,Grab,en
0,neutral,neutral,kenapa tak boleh tukar nama akaun tng wallet?,Touch n Go eWallet,ms
0,neutral,neutral,"Sepatutnye kedua² ibubapa boleh register anak² dan pasangan sebagai jagaan..ni harapkan 1 acc je yg boleh..kalau telepon bapak yg register, mak xboleh dah. abes klau mak nak register anak kat klinik utk outpatient camne kalau ayah outstation..dah beratur plak..pas2 slot abes plak..",MySejahtera,en
0,neutral,neutral,"Macam mana nak guna helpdesk ni ? Saya mahukan sijil vaksinasi secepat mungkin tapi sistem ini sangat susah , tolong segera saya sangat memerluka ,terima kasih",MySejahtera,ms
0,neutral,neutral,Kita telah di perbodohkn oleh mereka..punca 22 bulan memerintah kerajaan gagal kawal Covid..bahkn ditipu vaksin utk mmbunuh manusia..vaksin xkn d cipta masa terdekat..Mereka Berkomplot mmbunuh rakyat,MySejahtera,en
0,neutral,neutral,"always loading when i want make an appointment,please fix that",MySejahtera,en
0,neutral,neutral,"Apps are great to use, but for grab rides, some pickup points in Singapore for example new estates like Tengah, is very confusing for drivers and/or passengers. It would be great if the company could train or update their maps drivers/riders use. this is so that they would know where to go to.",Grab,en
0,neutral,neutral,"it's quite good BUT make sure you select card before your first journey, otherwise there's no way to change once you start and you can get caught out, which is a stupid design",Grab,en
0,neutral,neutral,"I can't log out of the application. When I want to log out, nothing comes out and I see that my husband's number is still there to log in even though we have separated the way to log in using our respective emails. Then there are several displays that don't show anything, it's blank and I want to log out and try to log in using my own ID, it doesn't give any response. I've uninstalled and reinstalled this application several times but when I want to open the account information section it keeps",MySejahtera,en
0,neutral,neutral,auto reload no longer working...,Touch n Go eWallet,en
0,neutral,neutral,"tolong lah hapuskan lockin gune foto² wajah ni,,,Klau senang sekali lockin tkpee",Touch n Go eWallet,ms
0,neutral,neutral,It's easy and very convenient app to pay anything but The new version is very slowly to open it take 30 seconds !! I tried on the both Mobiles same problem!!,Touch n Go eWallet,en
0,neutral,neutral,"sebelum ni guna grab ni ok je, cepat dan harga pun sesuai.....tapi sekarang harga tetap rm5 , bila dah oder pemandu call naik kan tambang rm10 . tiada kejujuran.. sebelum ni guna grab harga tetap rm9. sekarang harga tetap kadang rm5 boleh naik sampai 9 dan 10 kadang ada sampai 13😮‍💨",Grab,ms
0,negative,negative,Semua driver jauh,Grab,ms
0,neutral,neutral,saya tidak bisa masuk ewalet saya tolong di perbaiki,Touch n Go eWallet,ms
0,neutral,neutral,Go+ untuk warganegara saja Sye nk tapi tak boleh,Touch n Go eWallet,ms
0,positive,positive,Night shop still available for late order. Tq grab,Grab,en
0,negative,negative,สั่งแกรบตลอดแต่นี่มันเกินไปจริงๆ สั่งเพื่อให้ได้ของเร็ว เสียเงินเพิ่มสุดท้ายเลทแล้วให้Voucherนี่มันไม่ใช่การแก้ปัญหา เราต้องการของเร็วค่ะ ไม่ใช่ให้งานไรเดอร์ซ้ำ เลท แล้วค่อยให้คอมพรีเมนทารีเรา,Grab,en
0,negative,negative,says I don't have internet connection when i have 5g. inconsistent,Grab,en
0,negative,negative,app is good but no customer support when rider stole our food.,Grab,en
0,neutral,neutral,Rasanya dah boleh matikan feature MySj Trace ni. Dah tak perlu 24jam active.,MySejahtera,en
0,neutral,neutral,"Please provide the option of reverting to the previous option, because there's a function available in the old, but no longer available now.",MySejahtera,en
0,neutral,neutral,susah babi mw book,Grab,en
0,positive,positive,just got to use the application,Grab,en
0,neutral,neutral,Why my username and password is correct but cannot login in due to invalid username and password?,MySejahtera,en
0,neutral,neutral,knp ya tng sekarang semakin slow,Touch n Go eWallet,ms
0,neutral,neutral,annoying when promotion pop up first when open app,Touch n Go eWallet,en
0,neutral,neutral,can't find the name of klinik that's I wanted,MySejahtera,en
0,neutral,neutral,Ermmm susah sa mo kumen klu ini..😔,MySejahtera,ms
0,neutral,neutral,🥴tak boleh bukak,MySejahtera,ms
0,neutral,neutral,Saya tidak boleh menggunakan aplikasi ini,Touch n Go eWallet,ms
0,neutral,neutral,"it was simple and good before but now it's complicated. it's seems like a lots of people is facing with the problem of ""rooted device"" pop up. my phone is the original settings, no jailbreak or modified . what is exactly the problem?",Touch n Go eWallet,en
0,neutral,neutral,Search for biller e.g. Celcom very slow,Touch n Go eWallet,en
0,neutral,neutral,saya guna Oppo a93. selepas update terkini. app crash. hang. jadi black screen.,MySejahtera,en
0,neutral,neutral,"Kenapa saya tidak dapat mengakses bahagian temujanji di aplikasi mysejahtera, billa tekan diminta untuk verified account tapi dapat notis sudah verified melalui akaun sekian2..tapi bahagian temujanji tetap tidak boleh akses",MySejahtera,en
0,neutral,neutral,kenapa mysejahtera dah tak boleh nak download ?,MySejahtera,ms
0,neutral,neutral,MCM mane nk masuk semula.. hari tu fon... Terus xboleh masuk semula,MySejahtera,ms
0,neutral,neutral,apu... slow amat,Touch n Go eWallet,ms
0,neutral,neutral,I can't find my vaccination card,MySejahtera,en
0,neutral,neutral,"setelah membuat kemas kini,bila time nak log in sering gagal n ralat,sebelum kemas kini ok je..",Touch n Go eWallet,ms
0,neutral,neutral,the tng card balance is not updated,Touch n Go eWallet,en
0,neutral,neutral,jangan teraniaya sudah,Touch n Go eWallet,ms
0,neutral,neutral,"Getting better, good job well done!! Software Engineer",Touch n Go eWallet,en
0,neutral,neutral,mudah dn menjimatkan masa,Touch n Go eWallet,ms
0,neutral,neutral,"TNG Ewallet crashed every time I opened it, causing even my system UI to stop working forcing a restart. I use Realme C53",Touch n Go eWallet,en
0,positive,positive,Alhamdulillah mudahkan urusan,Touch n Go eWallet,ms
0,neutral,neutral,I can't open this app right now and I don't know why.. All my apps are updated automatically if needed to be updated.. But now..I really don't understand why I can't open this app 🤔,MySejahtera,en
0,neutral,neutral,aritu ada untuk tengok bilangan Blood Donor .. sekarang dah xde. kenapaaa ??,MySejahtera,en
0,neutral,neutral,Saya tidak dapat update status risiko convid sebab itu saya tidak dibenarkan masuk kerja. Apa perlu saya buat?,MySejahtera,ms
0,positive,positive,Works perfectly for the Redmi A5. Thank you for fixing my problem!!,Touch n Go eWallet,en
0,neutral,neutral,Easy to remember it.,MySejahtera,en
0,negative,negative,wai sedikan pin grab lah AP lah. tetap jugak salah apa erk. tangan aku salah typ ke apa sampai sebulan aku tk leh login ke acc aku,Grab,ms
0,positive,positive,tq... alright 👌,Touch n Go eWallet,en
0,negative,negative,"Not particularly great at food delivery. Very often the driver picks up multiple orders ""to increase efficiency"". The ""efficiency"" may be good for Grab; for you it means they drive around with your food in a bag for longer than 20 minutes. Not a problem if you don't mind cold food. Edit: Grab has discovered spam. Minus another star.",Grab,en
0,positive,positive,all utilities bills payment in 1 app,Touch n Go eWallet,en
0,negative,negative,I reported to Grab a restaurant misleading customers by displaying a full-size pizza photo but delivering only 2 slices. Grab has allowed the restaurant to continue using the full-size pizza photo despite it being misleading.,Grab,en
0,negative,negative,"Đặt xe từ 19h10. Báo có xe chậm nhất 19h22. Mình phải đứng đợi tới 19h20 thì bị hủy chuyến không rõ ràng từ phía tài xế. Bên áp cũng không áp dụng phần giảm giá hay hỗ trợ nào. Lại phải đặt,chờ lại từ đầu",Grab,en
0,positive,positive,please make dark mode version,Touch n Go eWallet,en
0,positive,positive,"Baru download app ni..blm try lgi,tpi klu app ni btl2 mmbantu n mmudahkan,nnti bru tmbah 1 star lgi.",Touch n Go eWallet,ms
0,positive,positive,memudahkan urusan kewangan dalam perbelanjaan,Touch n Go eWallet,ms
0,positive,positive,can be improve.,Touch n Go eWallet,en
0,negative,negative,loading manjang. bodo ke?,Grab,ms
0,negative,negative,Grab Myanmar is exploiting and exploiting Grab Drivers from Myanmar.,Grab,en
