text,clean_text,processed_text,emojis,label,app,language
hopefully the scanning page load faster ok. now resolved,hopefully the scanning page load faster ok now resolved,hope scan page load faster ok resolv,,positive,Touch n Go eWallet,en
"terbaik lahh, memudahkan",terbaik lahh memudahkan,baik lahh mudah,,positive,Touch n Go eWallet,ms
Ianya akan dapat membantu nanti,ianya akan dapat membantu nanti,ianya bantu,,positive,Touch n Go eWallet,ms
best mudh jimat,best mudh jimat,best mudh jimat,,positive,Touch n Go eWallet,ms
ok ok ok rm50. (rm49.50!),ok ok ok rm rm,ok ok ok rm rm,,positive,Touch n Go eWallet,en
after everything solve the review will came in. At the moment it's quite good experience,after everything solve the review will came in at the moment its quite good experience,everyth solv review came moment quit good experi,,positive,Touch n Go eWallet,en
The app was improved by a long mile since it was first introduced. the thing lacking was the security similar to banking sector level of security.,the app was improved by a long mile since it was first introduced the thing lacking was the security similar to banking sector level of security,app improv long mile sinc first introduc thing lack secur similar bank sector level secur,,positive,Touch n Go eWallet,en
not straight forward enough,not straight forward enough,not straight forward enough,,positive,Touch n Go eWallet,en
So easy for me,so easy for me,easi,,positive,Touch n Go eWallet,en
memudahkan urusan kewangan dalam perbelanjaan,memudahkan urusan kewangan dalam perbelanjaan,mudah urus wang belanja,,positive,Touch n Go eWallet,ms
"i like this app, easy and useful",i like this app easy and useful,like app easi use,,positive,Touch n Go eWallet,en
"Baru download app ni..blm try lgi,tpi klu app ni btl2 mmbantu n mmudahkan,nnti bru tmbah 1 star lgi.",baru download app niblm try lgitpi klu app ni btl mmbantu n mmudahkannnti bru tmbah star lgi,download app niblm try lgitpi klu app btl mmbantu mmudahkannnti bru tmbah star lgi,,positive,Touch n Go eWallet,ms
please make dark mode version,please make dark mode version,pleas make dark mode version,,positive,Touch n Go eWallet,en
can be improve.,can be improve,improv,,positive,Touch n Go eWallet,en
"baru update apps ni, tpi makin pening, skrg mmg dh x boleh top up card tngo guna nfc ke mcm mne, sbb dh xde button utk card tngo tu",baru update apps ni tpi makin pening skrg mmg dh x boleh top up card tngo guna nfc ke mcm mne sbb dh xde button utk card tngo tu,updat app tpi pene skrg mmg dh top card tngo nfc mcm mne sbb dh xde button utk card tngo,,positive,Touch n Go eWallet,en
saya penah guna ewallet tapi dah lama x buka bila nak buka balik nombor telifon dah bertukar jadi x lepas buat macam mana buat ya,saya penah guna ewallet tapi dah lama x buka bila nak buka balik nombor telifon dah bertukar jadi x lepas buat macam mana buat ya,penah ewallet dah buka nak buka nombor telifon dah tukar lepas,,positive,Touch n Go eWallet,ms
x boleh bayar bil elektrik dan banyak pulak iklan,x boleh bayar bil elektrik dan banyak pulak iklan,bayar bil elektrik pulak iklan,,positive,Touch n Go eWallet,ms
ok laaa bagus lain kali upgrade lama supaya semua bank boleh dapat,ok la bagus lain kali upgrade lama supaya semua bank boleh dapat,ok la bagus upgrad bank,,positive,Touch n Go eWallet,en
"Can't see TNG APP,",cant see tng app,cant see tng app,,positive,Touch n Go eWallet,ms
knp ACC lama saya tak blh nk buka sy tukar fon. fon lama hilang katalaluan sy dh masuk kan yg btl2 saya je tak blh nk masuk jgk knp ye,knp acc lama saya tak blh nk buka sy tukar fon fon lama hilang katalaluan sy dh masuk kan yg btl saya je tak blh nk masuk jgk knp ye,knp acc tak blh nk buka sy tukar fon fon hilang katalaluan sy dh yg btl tak blh nk jgk knp ye,,positive,Touch n Go eWallet,ms
"terbaik ..setakat ini, naik taraf lagi pada masa-² hadapan.very good, E'wallet digital..",terbaik setakat ini naik taraf lagi pada masa² hadapanvery good ewallet digital,baik takat taraf hadapanvery good ewallet digital,,positive,Touch n Go eWallet,ms
Implementation of budi and mykasih is good,implementation of budi and mykasih is good,implement budi mykasih good,,positive,Touch n Go eWallet,en
"dah makin laju dh, dulu asyik lag jer... kalau boleh buat la redeem coin tu setiap hari tknak voucher, better coin boleh kumpul 😁",dah makin laju dh dulu asyik lag jer kalau boleh buat la redeem coin tu setiap hari tknak voucher better coin boleh kumpul,dah laju dh asyik lag jer la redeem coin tknak voucher better coin kumpul,😁,positive,Touch n Go eWallet,en
"Touch 'n Go eWallet has made cashless payments so convenient in Malaysia! From paying tolls and parking to splitting bills and online shopping, it handles everything with ease. The GoPayLater and GoInvest features are excellent additions that make it more than just a payment app. Top-ups are instant and the cashback deals are genuinely great value!""",touch n go ewallet has made cashless payments so convenient in malaysia from paying tolls and parking to splitting bills and online shopping it handles everything with ease the gopaylater and goinvest features are excellent additions that make it more than just a payment app topups are instant and the cashback deals are genuinely great value,touch go ewallet made cashless payment conveni malaysia pay toll park split bill onlin shop handl everyth eas gopaylat goinvest featur excel addit make payment app topup instant cashback deal genuin great valu,,positive,Touch n Go eWallet,en
It would be nice for the app to have dark mode,it would be nice for the app to have dark mode,would nice app dark mode,,positive,Touch n Go eWallet,en
Saya suka Dan mudah untuk saya membuat tarnsaksi❤️❤️,saya suka dan mudah untuk saya membuat tarnsaksi,suka mudah tarnsaksi,❤️,positive,Touch n Go eWallet,en
"Touch nGo eWallet provides a convenient cashless payment solution. Transactions are quick, secure, and suitable for daily use.",touch ngo ewallet provides a convenient cashless payment solution transactions are quick secure and suitable for daily use,touch ngo ewallet provid conveni cashless payment solut transact quick secur suitabl daili use,,positive,Touch n Go eWallet,en
kenapa makin lama makin slow server dia,kenapa makin lama makin slow server dia,slow server,,positive,Touch n Go eWallet,en
Payment is smooth sailing. Feel safe only if it is really secured.,payment is smooth sailing feel safe only if it is really secured,payment smooth sail feel safe realli secur,,positive,Touch n Go eWallet,en
simple n easy,simple n easy,simpl easi,,positive,Touch n Go eWallet,en
Terbaik dan mantap,terbaik dan mantap,baik mantap,,positive,MySejahtera,ms
Tarikh untuk temujanji tidak dapat diplilih. Hanya tarikh semasa sahaja yang dipaparkan.,tarikh untuk temujanji tidak dapat diplilih hanya tarikh semasa sahaja yang dipaparkan,tarikh temujanji tidak diplilih tarikh sahaja dipaparkan,,positive,MySejahtera,en
Maklumat kewangan aku..apakah kamu tahu mygov..?tanya dahulu itu lebih baik.dari pada mengambil keputusan tanpa persetujuan hak hidup sebagai manusia..,maklumat kewangan akuapakah kamu tahu mygovtanya dahulu itu lebih baikdari pada mengambil keputusan tanpa persetujuan hak hidup sebagai manusia,maklumat wang akuapakah mygovtanya baikdari ambil putus tanpa tuju hak hidup manusia,,positive,MySejahtera,ms
Kenapa Selepas kemas kini sijil jadi hitam putih pula,kenapa selepas kemas kini sijil jadi hitam putih pula,lepas kemas sijil hitam putih,,positive,MySejahtera,ms
i love this App,i love this app,love app,,positive,MySejahtera,en
tak boleh nak book appointment. tak keluar pun nearest klinik yg available .keluar yg kat KL punya. kita duduk pahang,tak boleh nak book appointment tak keluar pun nearest klinik yg available keluar yg kat kl punya kita duduk pahang,tak nak book appoint tak nearest klinik yg avail yg kat kl duduk pahang,,positive,MySejahtera,en
i hope my past vaccine cert will appear in new my sejahtera.,i hope my past vaccine cert will appear in new my sejahtera,hope past vaccin cert appear new sejahtera,,positive,MySejahtera,en
"With this new updated app, I can't find my covid 19 vaccination record. Is it available in this updated apps.",with this new updated app i cant find my covid vaccination record is it available in this updated apps,new updat app cant find covid vaccin record avail updat app,,positive,MySejahtera,en
"this new version looks awesome and beautiful. Great UI, looks modern and robust. great job team",this new version looks awesome and beautiful great ui looks modern and robust great job team,new version look awesom beauti great ui look modern robust great job team,,positive,MySejahtera,en
Apa ke Benda ni ???@ nak buat temujanji klinik Gigi Semuanya Penuh? Temujanji yang ada kosong yang sy pernah dapat dapat January 2027? paling cepat 3bulan??? masalah orang dah sakit sangat takkan nak kena tunggu lama??Bila Call nak pergi terus tak boleh? Sistem Kejam apa yang dicipta ni?,apa ke benda ni nak buat temujanji klinik gigi semuanya penuh temujanji yang ada kosong yang sy pernah dapat dapat january paling cepat bulan masalah orang dah sakit sangat takkan nak kena tunggu lamabila call nak pergi terus tak boleh sistem kejam apa yang dicipta ni,benda nak temujanji klinik gigi penuh temujanji kosong sy january cepat dah sakit tak nak tunggu lamabila call nak pergi tak sistem kejam cipta,,positive,MySejahtera,ms
"after so long not open this app since pkp (covid) , now I open it 😁😄",after so long not open this app since pkp covid now i open it,long not open app sinc pkp covid open,😄😁,positive,MySejahtera,en
Selamat berinstall kembali semua,selamat berinstall kembali semua,selamat berinstal,,positive,MySejahtera,en
the app is good but i dont know how to update covid test status,the app is good but i dont know how to update covid test status,app good dont know updat covid test status,,positive,MySejahtera,en
nipah virus coming.gotta download this app to prevent nipah virus,nipah virus cominggotta download this app to prevent nipah virus,nipah virus cominggotta download app prevent nipah virus,,positive,MySejahtera,en
"lepas update version baru, apps tak boleh buka.. blank.",lepas update version baru apps tak boleh buka blank,lepa updat version app tak buka blank,,positive,MySejahtera,en
"Kenapa setiap kali saya nak login semula , mesti invalid user id or password.. sedangkan password saya betul",kenapa setiap kali saya nak login semula mesti invalid user id or password sedangkan password saya betul,nak login mesti invalid user id password password,,positive,MySejahtera,en
Saya amat meyukainya,saya amat meyukainya,meyukainya,,positive,MySejahtera,ms
information and investment...,information and investment,information investment,,positive,MySejahtera,ms
WOW. AWESOME MYSEJAHTERA APP JUST GOT UPDATED WITH FUTURISTIC HIGH-TECH LOOKING!,wow awesome mysejahtera app just got updated with futuristic hightech looking,wow awesom mysejahtera app got updat futurist hightech look,,positive,MySejahtera,en
Aplikasi ini sangat berguna untuk membuat temu janji di hospital yang berdekatan.,aplikasi ini sangat berguna untuk membuat temu janji di hospital yang berdekatan,aplikasi berguna temu janji hospit berdekatan,,positive,MySejahtera,en
cara membuat tempahan awal??,cara membuat tempahan awal,tempah,,positive,MySejahtera,ms
"I love the new look, but only downside im no longer able to print 3 vaccine cert on same page like before.. I'm looking forward to bringing that back.. please be able to verify the dependent because several son take care of their parents",i love the new look but only downside im no longer able to print vaccine cert on same page like before im looking forward to bringing that back please be able to verify the dependent because several son take care of their parents,love new look downsid im no longer abl print vaccin cert page like im look forward bring back pleas abl verifi depend sever son take care parent,,positive,MySejahtera,en
gelap tak keluar apa2.....x blh guna dah... setelah seminggu lebih baru blh guna. install uninstall byk kali.tq helpdesk mysejahtera yg membantu,gelap tak keluar apa x blh guna dah setelah seminggu lebih baru blh guna install uninstall byk kalitq helpdesk mysejahtera yg membantu,gelap tak blh dah seminggu blh instal uninstal byk kalitq helpdesk mysejahtera yg membantu,,positive,MySejahtera,en
my sejahtera saya bhgian profil xdpt buka cma kosong je mcm mna?,my sejahtera saya bhgian profil xdpt buka cma kosong je mcm mna,sejahtera bhgian profil xdpt buka cma kosong mcm mna,,positive,MySejahtera,en
latest version tiada detail di blood donor card. previous version ada detail benefit yg dapat. cth: free outpatient treatment etc,latest version tiada detail di blood donor card previous version ada detail benefit yg dapat cth free outpatient treatment etc,latest version tiada detail blood donor card previous version detail benefit yg cth free outpati treatment etc,,positive,MySejahtera,en
"sebelum dh daftar. tp hp rosak. so , nak download di handphone baru , tak dapat pula. Tapi berjaya je daftar.",sebelum dh daftar tp hp rosak so nak download di handphone baru tak dapat pula tapi berjaya je daftar,dh daftar tp hp rosak nak download handphon tak berjaya daftar,,positive,MySejahtera,en
"Very user friendly. It helps me quickly check my future appointments. I can also self check in at home then just arrive at the clinic half an hour before the appointment time. Excellent! However, the notification and history are not updated in time.",very user friendly it helps me quickly check my future appointments i can also self check in at home then just arrive at the clinic half an hour before the appointment time excellent however the notification and history are not updated in time,user friend help quick check futur appoint also self check home arriv clinic half hour appoint time excel howev notif histori not updat time,,positive,MySejahtera,en
tutup app MySejahtera,tutup app mysejahtera,tutup app mysejahtera,,positive,MySejahtera,ms
Terbaik untuk saya selesaikan semua masalah.sangat senang.,terbaik untuk saya selesaikan semua masalahsangat senang,baik selesai masalahsangat senang,,positive,MySejahtera,ms
mudah dah sekarang guna mysejahtera....,mudah dah sekarang guna mysejahtera,mudah dah mysejahtera,,positive,MySejahtera,ms
saya terlupa katalaluan nya macam mana ya?,saya terlupa katalaluan nya macam mana ya,lupa katalaluan,,positive,MySejahtera,ms
"Salam, harap boleh tmbah fungsi rekod derma darah. T.kasih",salam harap boleh tmbah fungsi rekod derma darah tkasih,harap tmbah fungsi rekod derma darah tkasih,,positive,MySejahtera,en
tak boleh nk book oppiment,tak boleh nk book oppiment,tak nk book oppiment,,positive,MySejahtera,ms
"Recently after updated, the fixed notification for MySJ Trace always appeared even though I don't turn it on. Please fix this.. Thanks",recently after updated the fixed notification for mysj trace always appeared even though i dont turn it on please fix this thanks,recent updat fix notif mysj trace alway appear even though dont turn pleas fix thank,,positive,MySejahtera,en
Boleh tak tambahkan maklumat suntikan typhoid dlm nie...susah la klo kena bwk kad jewrr...klo ade dlm mysejahtera lgy senang...,boleh tak tambahkan maklumat suntikan typhoid dlm niesusah la klo kena bwk kad jewrrklo ade dlm mysejahtera lgy senang,tak tambah maklumat sunti typhoid dlm niesusah la klo bwk kad jewrrklo ade dlm mysejahtera lgy senang,,positive,MySejahtera,ms
Mallory awards 10 contributions.,mallory awards contributions,mallori award contribut,,positive,MySejahtera,en
MURUGAMAH A/P MUNIANDY,murugamah ap muniandy,murugamah ap muniandy,,positive,MySejahtera,ms
Gets a new apps. ..,gets a new apps,get new app,,positive,MySejahtera,en
"setakat 4 tahun saya guna, tak ade lagi masalah yang saya hadapi. cara nak guna mudah tapi untuk sesetangah orang mungkin susah sikit tapi untuk saya, semuanya Oke je.",setakat tahun saya guna tak ade lagi masalah yang saya hadapi cara nak guna mudah tapi untuk sesetangah orang mungkin susah sikit tapi untuk saya semuanya oke je,setakat tahun tak ade hadapi nak mudah sesetangah susah sikit oke,,positive,MySejahtera,en
"Terok gila tak boleh buat tempahan janji temu, aku dah sahkan acc tuu bnyak kali...😌",terok gila tak boleh buat tempahan janji temu aku dah sahkan acc tuu bnyak kali,terok gila tak tempah janji temu dah sahkan acc tuu bnyak,😌,positive,MySejahtera,ms
user friendly n helpful,user friendly n helpful,user friend help,,positive,MySejahtera,en
menstabilkan kesihatan terbaik.,menstabilkan kesihatan terbaik,stabil kesihatan baik,,positive,MySejahtera,ms
hrini saya ada appoiment dkt KK & my apps x blh guna sbb maintenance. haih can you fix this?,hrini saya ada appoiment dkt kk my apps x blh guna sbb maintenance haih can you fix this,hrini appoiment dkt kk app blh sbb mainten haih fix,,positive,MySejahtera,en
"MySejahtera pernah jadi aplikasi penting semasa pandemik, namun kini semakin kurang relevan. Saya cadangkan agar ia dipertingkat dengan fungsi yang lebih dekat dengan pengguna, seperti e-wallet kesihatan, pembayaran klinik, rekod vaksin automatik atau insentif gaya hidup sihat. Transformasi ini boleh menjadikan MySejahtera platform digital kerajaan yang moden,berguna dan kekal relevan untk rakyat.. PADU DAK KOMEN ABG😂",mysejahtera pernah jadi aplikasi penting semasa pandemik namun kini semakin kurang relevan saya cadangkan agar ia dipertingkat dengan fungsi yang lebih dekat dengan pengguna seperti ewallet kesihatan pembayaran klinik rekod vaksin automatik atau insentif gaya hidup sihat transformasi ini boleh menjadikan mysejahtera platform digital kerajaan yang modenberguna dan kekal relevan untk rakyat padu dak komen abg,mysejahtera aplikasi pandemik relevan cadang tingkat fungsi guna ewallet kesihatan bayar klinik rekod vaksin automatik insentif gaya hidup sihat transformasi jadi mysejahtera platform digital raja modenberguna kekal relevan untk rakyat padu dak komen abg,😂,positive,MySejahtera,ms
unable to update latest apps version for model samsung z fold5,unable to update latest apps version for model samsung z fold,unabl updat latest app version model samsung fold,,positive,MySejahtera,en
Soo good ❤️😘😍😘😊👍,soo good,soo good,😍😊😘👍❤️,positive,MySejahtera,en
"5 years after MCO,pandemic COVID-19..now I see a new in terms of their UI & UX.. really gives material feels design and it makes this app more refreshing to see compared to old UI. Even though, stability and performance play a crucial roles in development application. Lastly but not least, always keeping our data at high grade security,not weakest ones that hackers,scammers can access our data. That's all for now I would want say.",years after mcopandemic covid now i see a new in terms of their ui ux really gives material feels design and it makes this app more refreshing to see compared to old ui even though stability and performance play a crucial roles in development application lastly but not least always keeping our data at high grade securitynot weakest ones that hackersscammers can access our data thats all for now i would want say,year mcopandem covid see new term ui ux realli give materi feel design make app refresh see compar old ui even though stabil perform play crucial role develop applic last not least alway keep data high grade securitynot weakest one hackersscamm access data that would want say,,positive,MySejahtera,en
Zujinduhu a/l Merapu,zujinduhu al merapu,zujinduhu al merapu,,positive,MySejahtera,ms
apps yg terbaik..,apps yg terbaik,apps yg baik,,positive,MySejahtera,ms
"After my last complain about there is no available slot for dental check up for almost every month , the new update finally improve the app a little. However, when I try booking for appointment in the next 6 month - let's say for February 2026, there is no available slot even after I check for every date in February and even March. Hopefully this can be fixed too 😭",after my last complain about there is no available slot for dental check up for almost every month the new update finally improve the app a little however when i try booking for appointment in the next month lets say for february there is no available slot even after i check for every date in february and even march hopefully this can be fixed too,last complain no avail slot dental check almost everi month new updat final improv app littl howev tri book appoint next month let say februari no avail slot even check everi date februari even march hope fix,😭,positive,MySejahtera,en
grab terbaik dalam keadaan saya takde duit saya boleh naik grab dangan bayaran grabpay latter.. terimakasih grab mudahkan keadaan saya,grab terbaik dalam keadaan saya takde duit saya boleh naik grab dangan bayaran grabpay latter terimakasih grab mudahkan keadaan saya,grab baik takde duit grab dang bayar grabpay latter terimakasih grab mudah,,positive,Grab,ms
Best juga offers grab food ni,best juga offers grab food ni,best offer grab food,,positive,Grab,en
sangat berpuashati dgn app ini,sangat berpuashati dgn app ini,berpuashati dgn app,,positive,Grab,ms
"nice app, helpful and simple",nice app helpful and simple,nice app help simpl,,positive,Grab,en
Grab app is good but i have issue with sale debit eventhough i have not use the debit card anymore. i use grab wallet.. please fix it ...,grab app is good but i have issue with sale debit eventhough i have not use the debit card anymore i use grab wallet please fix it,grab app good issue sale debit eventhough not use debit card anymore use grab wallet please fix,,positive,Grab,ms
please bring back the option to pay and split evenly,please bring back the option to pay and split evenly,pleas bring back option pay split even,,positive,Grab,en
nice apps. easy to use. easy to book a car and fast service.,nice apps easy to use easy to book a car and fast service,nice app easi use easi book car fast servic,,positive,Grab,en
less 1 star because grabmap error,less star because grabmap error,less star grabmap error,,positive,Grab,en
easy to use,easy to use,easi use,,positive,Grab,en
"i hope they would add a feature to cancel your order, when the order is not yet accepted by the driver. coz that would be more effective for customers, to cancel their orders instead of messaging the drivers themselves and 😐",i hope they would add a feature to cancel your order when the order is not yet accepted by the driver coz that would be more effective for customers to cancel their orders instead of messaging the drivers themselves and,hope would add featur cancel order order not yet accept driver coz would effect custom cancel order instead messag driver,😐,positive,Grab,en
I think the app is great overall but there could be some issues at certain times where the tracker can be inconsistent and buggy. I am not sure if this is only personal experience but hopefully others might encounter the same problems as well and point it out,i think the app is great overall but there could be some issues at certain times where the tracker can be inconsistent and buggy i am not sure if this is only personal experience but hopefully others might encounter the same problems as well and point it out,think app great overal could issu certain time tracker inconsist buggi not sure person experi hope other might encount problem well point,,positive,Grab,en
"mudah, cepat n memuaskan",mudah cepat n memuaskan,mudah cepat muas,,positive,Grab,ms
ikut peraturan jln raya dgn betul dan grab bawa hati2 semasa memandu dan bersopan santun bila bercakap,ikut peraturan jln raya dgn betul dan grab bawa hati semasa memandu dan bersopan santun bila bercakap,atur jln raya dgn grab bawa hati pandu sopan santun cakap,,positive,Grab,ms
good taxi service,good taxi service,good taxi servic,,positive,Grab,en
Terima kasih servis yang baik,terima kasih servis yang baik,terima kasih servis,,positive,Grab,ms
यहां अप डिलीवरी के लिए बहुत बढ़िया ऐप है मैंने इसे उसे किया और मुझे बहुत अच्छालगा 😇*,यहां अप डिलीवरी के लिए बहुत बढ़िया ऐप है मैंने इसे उसे किया और मुझे बहुत अच्छालगा,अप ऐप और,😇,positive,Grab,en
The old UI was more seamless with nested transport types under one. whoever made this change to separate tuktuk from car is just silly and is why I am reducing to 4 star. otherwise happy with the service.,the old ui was more seamless with nested transport types under one whoever made this change to separate tuktuk from car is just silly and is why i am reducing to star otherwise happy with the service,old ui seamless nest transport type one whoever made chang separ tuktuk car silli reduc star otherwis happi servic,,positive,Grab,en
best service this app,best service this app,best servic app,,positive,Grab,en
mudah dan cepat...senang nak pergi ke mana sahaja,mudah dan cepatsenang nak pergi ke mana sahaja,mudah cepatsenang nak pergi sahaja,,positive,Grab,ms
"pretty good overall, but had 3 drivers in a row cancel this morning. also, the actual time until the drive shows up is regularly 2x as long as the estimate shown initially.",pretty good overall but had drivers in a row cancel this morning also the actual time until the drive shows up is regularly x as long as the estimate shown initially,pretti good overal driver row cancel morn also actual time drive show regular long estim shown initi,,positive,Grab,en
정확한 지도표시가 잘안되어 안타깝습니다,정확한 지도표시가 잘안되어 안타깝습니다,정확한 지도표시가 잘안되어 안타깝습니다,,positive,Grab,en
pin lokasi tidak tepat Jln Dtk Ajibah Abol,pin lokasi tidak tepat jln dtk ajibah abol,pin lokasi tidak jln dtk ajibah abol,,positive,Grab,ms
"would give 5 stars if you can implement the same feature as foodpanda. after choosing Ur food, there's a feature to input ur special instructions. It was upsetting when i first used grab after foodpanda.",would give stars if you can implement the same feature as foodpanda after choosing ur food theres a feature to input ur special instructions it was upsetting when i first used grab after foodpanda,would give star implement featur foodpanda choos ur food there featur input ur special instruct upset first use grab foodpanda,,positive,Grab,en
drive tak cerewet bagus orangnya,drive tak cerewet bagus orangnya,drive tak cerewet bagus orang,,positive,Grab,ms
wow it's very nice 👍,wow its very nice,wow nice,👍,positive,Grab,en
The aba payment thing sucks.,the aba payment thing sucks,aba payment thing suck,,positive,Grab,en
The driver is very nice and polite. Highly recommended.,the driver is very nice and polite highly recommended,driver nice polit high recommend,,positive,Grab,en
Sangat sangat baik terima kasih..,sangat sangat baik terima kasih,terima kasih,,positive,Grab,ms
Fast rides and deliveries with clear pricing. Smooth and reliable,fast rides and deliveries with clear pricing smooth and reliable,fast ride deliveri clear price smooth reliabl,,positive,Grab,en
trouble with connection of my payment card but otherwise a great app,trouble with connection of my payment card but otherwise a great app,troubl connect payment card otherwis great app,,positive,Grab,en
verry good . is easy,verry good is easy,verry good easy,,positive,Grab,ms
"Look, can you not make a nearest drop point for pickup? I've been using it for like a long time, and pickup places like 10 -15 minutes walk just for me to call for a Grab driver. Don't make it the nearest point for pickup, just point where I am.",look can you not make a nearest drop point for pickup ive been using it for like a long time and pickup places like minutes walk just for me to call for a grab driver dont make it the nearest point for pickup just point where i am,look not make nearest drop point pickup ive use like long time pickup place like minut walk call grab driver dont make nearest point pickup point,,positive,Grab,en
Perkhidmatan yg cepat,perkhidmatan yg cepat,khidmat yg cepat,,positive,Grab,ms
Location stalls quite often. But overall very good,location stalls quite often but overall very good,locat stall quit often overal good,,positive,Grab,en
"I hope Grab team can consider allowing small dogs like toy poodles in standard Grab cars, as long as they are properly contained (carrier or seat cover). GrabPet seems more suitable for large dogs, and the fare can be too high for small, well-behaved pets. This change would make trips more affordable and convenient for pet owners while still respecting drivers. Or maybe add GrabPet for 4-seater :)",i hope grab team can consider allowing small dogs like toy poodles in standard grab cars as long as they are properly contained carrier or seat cover grabpet seems more suitable for large dogs and the fare can be too high for small wellbehaved pets this change would make trips more affordable and convenient for pet owners while still respecting drivers or maybe add grabpet for seater,hope grab team consid allow small dog like toy poodl standard grab car long proper contain carrier seat cover grabpet seem suitabl larg dog fare high small wellbehav pet chang would make trip afford conveni pet owner still respect driver mayb add grabpet seater,,positive,Grab,en
pemanduan yg cemerlang,pemanduan yg cemerlang,pandu yg cemerlang,,positive,Grab,ms
saya sangat gembira kerana dengan pas grab dapat memudahkan orang,saya sangat gembira kerana dengan pas grab dapat memudahkan orang,gembira rana pas grab mudah,,positive,Grab,ms
"penggunaan grab memang terbaik dan berbaloi, senang dan Ok.",penggunaan grab memang terbaik dan berbaloi senang dan ok,guna grab baik berbaloi senang ok,,positive,Grab,ms
"Very Useful for delivery of food. Very affordable. Can you please, put how many kilometers from the place where we will order to our place next time? Cause it's hard to determine where the nearest to our place.",very useful for delivery of food very affordable can you please put how many kilometers from the place where we will order to our place next time cause its hard to determine where the nearest to our place,use deliveri food afford pleas put mani kilomet place order place next time caus hard determin nearest place,,positive,Grab,en
tolong di review lagi app nya. makin ke sini makin kurang oke. dapat driver lokasi jauh banget dari titik penjemputan jadi tunggu lama dan kasian drivernya juga ongkos bensin buat narik makin banyak.,tolong di review lagi app nya makin ke sini makin kurang oke dapat driver lokasi jauh banget dari titik penjemputan jadi tunggu lama dan kasian drivernya juga ongkos bensin buat narik makin banyak,tolong review app oke driver lokasi banget titik penjemputan tunggu kasian drivernya ongko bensin narik,,positive,Grab,en
just got to use the application,just got to use the application,got use applic,,positive,Grab,en
